Date,price_change_1d,price_change_3d,price_change_5d,price_change_10d,price_volatility_5d,price_volatility_10d,price_volatility_20d,price_momentum_5d,price_momentum_10d,price_momentum_20d,trend_strength_5d,trend_strength_10d,trend_strength_20d,volume_change_1d,volume_change_3d,volume_change_5d,volume_change_10d,volume_ma_5d,volume_std_5d,volume_ma_10d,volume_std_10d,volume_ma_20d,volume_std_20d,volume_momentum_5d,volume_momentum_10d,volume_momentum_20d,volume_trend_strength_5d,volume_trend_strength_10d,volume_trend_strength_20d,volatility_change_1d,volatility_change_3d,volatility_change_5d,volatility_change_10d,volatility_ma_5d,volatility_std_5d,volatility_ma_10d,volatility_std_10d,volatility_ma_20d,volatility_std_20d,volatility_momentum_5d,volatility_momentum_10d,volatility_momentum_20d,regime_persistence_5d,regime_persistence_10d,regime_persistence_20d,day_of_week,is_weekend,month,is_month_end,is_month_start,quarter,day_of_week_sin,day_of_week_cos,month_sin,month_cos,price_volume_correlation_5d,volatility_volume_correlation_5d,price_volatility_correlation_5d,volatility_regime
2023-04-03 00:00:00+00:00,0.0135971982612757,0.009137024300294394,0.005670131965964664,0.09387639382193314,0.0074048097982869045,0.015719831748156863,0.02257748989140866,0.005670131965964664,0.09387639382193314,-0.007154888751122468,-0.0034045440081116726,0.052288934091150964,-0.040674182448452875,-0.21844206162285607,-0.2924189685761782,-0.5207089755334129,-0.10578478693138282,15318569209.8,3279619309.1038823,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,-0.5207089755334129,-0.10578478693138282,-0.3462303600108564,-0.290946801346742,0.19412845343932236,-0.22399537631666233,0.021128363638970526,-0.41105158689935795,-0.5346953518137738,-0.07093670259943485,0.2195370550956255,0.07584034780865422,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,-0.5346953518137738,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,0,0,4,0,0,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,-0.11845997074794028,0.707375956844315,0.8953075855365893,0
2023-04-04 00:00:00+00:00,0.0135971982612757,0.009137024300294394,0.005670131965964664,0.09387639382193314,0.0074048097982869045,0.015719831748156863,0.02257748989140866,0.005670131965964664,0.09387639382193314,-0.007154888751122468,-0.0034045440081116726,0.052288934091150964,-0.040674182448452875,-0.21844206162285607,-0.2924189685761782,-0.5207089755334129,-0.10578478693138282,15318569209.8,3279619309.1038823,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,-0.5207089755334129,-0.10578478693138282,-0.3462303600108564,-0.290946801346742,0.19412845343932236,-0.22399537631666233,0.021128363638970526,-0.41105158689935795,-0.5346953518137738,-0.07093670259943485,0.2195370550956255,0.07584034780865422,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,-0.5346953518137738,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,1,0,4,0,0,2,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,-0.11845997074794028,0.707375956844315,0.8953075855365893,0
2023-04-05 00:00:00+00:00,0.000351267384649967,0.009137024300294394,0.005670131965964664,0.09387639382193314,0.0074048097982869045,0.015719831748156863,0.02257748989140866,0.005670131965964664,0.09387639382193314,-0.007154888751122468,-0.0034045440081116726,0.052288934091150964,-0.040674182448452875,0.11565786467670103,-0.2924189685761782,-0.5207089755334129,-0.10578478693138282,15318569209.8,3279619309.1038823,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,-0.5207089755334129,-0.10578478693138282,-0.3462303600108564,-0.290946801346742,0.19412845343932236,-0.22399537631666233,-0.38605842939209933,-0.41105158689935795,-0.5346953518137738,-0.07093670259943485,0.2195370550956255,0.07584034780865422,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,-0.5346953518137738,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,2,0,4,0,0,2,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,-0.11845997074794028,0.707375956844315,0.8953075855365893,0
2023-04-06 00:00:00+00:00,-0.004749940528704033,0.009137024300294394,0.005670131965964664,0.09387639382193314,0.0074048097982869045,0.015719831748156863,0.02257748989140866,0.005670131965964664,0.09387639382193314,-0.007154888751122468,-0.0034045440081116726,0.052288934091150964,-0.040674182448452875,-0.1885085057442707,-0.2924189685761782,-0.5207089755334129,-0.10578478693138282,15318569209.8,3279619309.1038823,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,-0.5207089755334129,-0.10578478693138282,-0.3462303600108564,-0.290946801346742,0.19412845343932236,-0.22399537631666233,-0.06055820998729111,-0.41105158689935795,-0.5346953518137738,-0.07093670259943485,0.2195370550956255,0.07584034780865422,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,-0.5346953518137738,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,3,0,4,0,0,2,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,-0.11845997074794028,0.707375956844315,0.8953075855365893,0
2023-04-07 00:00:00+00:00,-0.004217681389550476,-0.008599463793734885,0.005670131965964664,0.09387639382193314,0.0074048097982869045,0.015719831748156863,0.02257748989140866,0.005670131965964664,0.09387639382193314,-0.007154888751122468,-0.0034045440081116726,0.052288934091150964,-0.040674182448452875,-0.21507225611168235,-0.2893681257119306,-0.5207089755334129,-0.10578478693138282,15318569209.8,3279619309.1038823,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,-0.5207089755334129,-0.10578478693138282,-0.3462303600108564,-0.290946801346742,0.19412845343932236,-0.22399537631666233,-0.21977112938502752,-0.5499933489591522,-0.5346953518137738,-0.07093670259943485,0.2195370550956255,0.07584034780865422,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,-0.5346953518137738,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,4,0,4,0,0,2,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,-0.11845997074794028,0.707375956844315,0.8953075855365893,0
2023-04-08 00:00:00+00:00,0.0007854922772632111,-0.008169124166639397,0.005670131965964664,0.09387639382193314,0.0074048097982869045,0.015719831748156863,0.02257748989140866,0.005670131965964664,0.09387639382193314,-0.007154888751122468,-0.0037421934420171087,0.052288934091150964,-0.040674182448452875,-0.13703449861290828,-0.450323606265831,-0.5207089755334129,-0.10578478693138282,13281920055.6,3149229992.241582,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,-0.5207089755334129,-0.10578478693138282,-0.3462303600108564,-0.29428459765137693,0.19412845343932236,-0.22399537631666233,0.012600456104511215,-0.25778451580851114,-0.5346953518137738,-0.07093670259943485,0.18778125892641465,0.06817594490247551,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,-0.5346953518137738,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,5,1,4,0,0,2,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,-0.11845997074794028,0.6241813543047519,0.8953075855365893,0
2023-04-09 00:00:00+00:00,0.013784839213681899,0.010301979301603259,0.00585630542983373,0.09387639382193314,0.007483698651878265,0.015719831748156863,0.02257748989140866,0.00585630542983373,0.09387639382193314,-0.007154888751122468,0.0088046295581694,0.052288934091150964,-0.040674182448452875,0.2989428142931987,-0.12014086791821377,-0.20342229076601803,-0.10578478693138282,12660076874.0,2955978202.888236,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,-0.20342229076601803,-0.10578478693138282,-0.3462303600108564,-0.038289966784920484,0.19412845343932236,-0.22399537631666233,0.16924876545322287,-0.07622319145561496,-0.46720030034955773,-0.07093670259943485,0.1594477703930314,0.022011060467850847,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,-0.46720030034955773,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,6,1,4,0,0,2,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.8970281587647858,0.9443800895374742,0.06891585206127669,0
2023-04-10 00:00:00+00:00,0.04658621825410658,0.061846658702871204,0.052345692087850004,0.09387639382193314,0.021543725625294084,0.015719831748156863,0.02257748989140866,0.052345692087850004,0.09387639382193314,-0.007154888751122468,0.04482667129898533,0.052288934091150964,-0.040674182448452875,0.5837280186819416,0.775268578313071,0.13077895752289037,-0.10578478693138282,13106093695.6,3824917447.841824,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,0.13077895752289037,-0.10578478693138282,-0.3462303600108564,0.4712545585168157,0.19412845343932236,-0.22399537631666233,0.7407288908453726,1.0609913832830773,0.5106646537991035,-0.07093670259943485,0.17846117001401873,0.05968177642859191,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,0.5106646537991035,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,0,0,4,0,0,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.959295689163513,0.9774514148654971,0.9171797614408298,0
2023-04-11 00:00:00+00:00,0.019629666758571807,0.08184057734317851,0.0781239118019863,0.09387639382193314,0.01994667303673277,0.015719831748156863,0.02257748989140866,0.0781239118019863,0.09387639382193314,-0.007154888751122468,0.049138147753778866,0.052288934091150964,-0.040674182448452875,0.043503907444645495,1.14666715558822,0.4540784086881242,-0.10578478693138282,14362783788.2,4982488640.725994,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,0.4540784086881242,-0.10578478693138282,-0.3462303600108564,0.40093035860715087,0.19412845343932236,-0.22399537631666233,0.021142194332043562,1.0783767683864265,0.6420425787737256,-0.07093670259943485,0.20091847739136526,0.07670101185811293,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,0.6420425787737256,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,1,0,4,0,0,2,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.9229964331021517,0.9921706273259616,0.8357686801296423,0
2023-04-12 00:00:00+00:00,-0.003175315803583212,0.06374188106563383,0.07925247096804866,0.09387639382193314,0.019695371204262166,0.015719831748156863,0.02257748989140866,0.07925247096804866,0.09387639382193314,-0.007154888751122468,0.029986931993180428,0.052288934091150964,-0.040674182448452875,-0.07302375340633382,0.5319453948831849,0.7172232170842872,-0.10578478693138282,15920833674.0,4829653852.047796,15619701441.9,3904877900.8523273,16914505663.25,4251415852.004751,0.7172232170842872,-0.10578478693138282,-0.3462303600108564,0.17154228904860047,0.19412845343932236,-0.22399537631666233,0.020082991329606115,0.8132298734425332,1.1468312295670886,-0.07093670259943485,0.2322163904660806,0.0757418196101738,0.22587672278085305,0.07176833117591488,0.28359645797117566,0.10050258297254591,1.1468312295670886,-0.07093670259943485,0.619245564813373,0.0,0.0,0.0,2,0,4,0,0,2,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.9041696129928778,0.9854055324959305,0.3555375867162503,0
