Date,Open,High,Low,Close,Volume,log_returns,realized_volatility,Daily_Range,Price_Change,Price_Volatility,Volume_MA5,Volume_MA20,Volume_Ratio,Volatility_MA5,Volatility_MA20,Volatility_Ratio,Day_of_Week,Month,Is_Weekend,Price_Trend,Volume_Trend,Return_Momentum,Volatility_Momentum,Volume_normalized,Daily_Range_normalized,Price_Change_normalized,Price_Volatility_normalized,Volume_Ratio_normalized,Volatility_Ratio_normalized,Price_Trend_normalized,Volume_Trend_normalized,Return_Momentum_normalized,Volatility_Momentum_normalized
2023-04-03 00:00:00+00:00,28183.080078125,28475.623046875,27276.720703125,27790.220703125,19556501327,-0.014613274150394,0.2969522370214179,0.043141159494828475,,,,,,,,,0,4,0,,,,,-0.5002567431011629,0.30499380734461873,,,,,,,,
2023-04-04 00:00:00+00:00,27795.2734375,28433.7421875,27681.3046875,28168.08984375,15284538859,0.0135055858746378,0.3032263518686122,0.02671240769870494,0.0135971982612757,,,,,,,,1,4,0,,,,,-0.7000630544941514,-0.41634234606445025,0.46036767890757946,,,,,,,
2023-04-05 00:00:00+00:00,28169.7265625,28739.23828125,27843.763671875,28177.984375,17052315986,0.0003512057047058,0.1861632627159197,0.03177922868640245,0.000351267384649967,,,,,,,,2,4,0,,,,,-0.6173813760485709,-0.19387376131533673,-0.06134005739443102,,,,,,,
2023-04-06 00:00:00+00:00,28175.2265625,28178.384765625,27738.759765625,28044.140625,13837809380,-0.0047612573465794,0.1748895487604498,0.015676180128981934,-0.004749940528704033,,,,,,,,3,4,0,,,,,-0.767728836426412,-0.9009092834728978,-0.2622575812491053,,,,,,,
2023-04-07 00:00:00+00:00,28038.966796875,28111.59375,27794.03125,27925.859375,10861680497,-0.0042266008962955,0.1364538751117279,0.0113716285588794,-0.004217681389550476,,15318569209.8,,0.709053198653258,0.2195370550956255,,0.6215528173696765,4,4,0,,,-0.0019488681627850598,0.2195370550956255,-0.9069270009226374,-1.0899089537011242,-0.24129388204213828,,-0.8853244723457195,-1.6143251469841953,,,-0.3205696100983467,-0.9817272313619952
2023-04-08 00:00:00+00:00,27920.513671875,28159.86328125,27883.38671875,27947.794921875,9373255556,0.0007851839396583,0.1381732561753637,0.009892607387196734,0.0007854922772632111,0.0074048097982869045,13281920055.6,,0.7057154023486231,0.18778125892641465,,0.7358202675034216,5,4,1,0.0011246762241330366,-0.1329529622712453,0.0011308234552254,0.18778125892641465,-0.9765429442915802,-1.154848241605144,-0.044237560946182336,-1.2668948456570552,-0.8951808477218864,-1.1410168666071059,-0.04512553217940632,-1.231025258525256,-0.03865930431108942,-1.196951522632304
2023-04-09 00:00:00+00:00,27952.3671875,28532.830078125,27828.48046875,28333.05078125,12175322951,0.0136906925289077,0.1615589092016959,0.02485964588893189,0.013784839213681899,0.007483698651878265,12660076874.0,,0.9617100332150795,0.1594477703930314,,1.013240315643553,6,4,1,0.001176075767128637,-0.04681877160808656,0.0011678447860793799,0.1594477703930314,-0.8454859055972247,-0.49769144023971595,0.46775815507940804,-1.2603378959197875,-0.13923921862985897,0.008087325125954715,-0.04043579395048747,-0.4719352523654196,-0.035270427762326716,-1.3889811904233214
2023-04-10 00:00:00+00:00,28336.02734375,29771.46484375,28189.271484375,29652.98046875,19282400094,0.0455336467573902,0.2812302608208564,0.05335697573612897,0.04658621825410658,0.021543725625294084,13106093695.6,,1.4712545585168157,0.17846117001401873,,1.5758624736056857,0,4,0,0.010503513366375117,0.035230182726297965,0.010204332996616262,0.17846117001401873,-0.5130768829605938,0.7535389970754882,1.7596819440644422,-0.09172045540207367,1.365424833298857,2.3385298595083963,0.8106075838240081,0.25115206953978886,0.7919160151196131,-1.2601182440729561
2023-04-11 00:00:00+00:00,29653.6796875,30509.083984375,29609.30078125,30235.05859375,20121259843,0.0194394895643321,0.2871760856471822,0.02975959845869118,0.019629666758571807,0.01994667303673277,14362783788.2,,1.4009303586071509,0.20091847739136526,,1.4293164539954053,1,4,0,0.015439456622518,0.09588593838772108,0.015044482378798563,0.20091847739136526,-0.4738421112416823,-0.28254953643476344,0.6979640783868478,-0.2244615598071736,1.157760359773091,1.731520212783415,1.2609672647668682,0.785703768280632,1.2349759580071749,-1.1079142798462582
2023-04-12 00:00:00+00:00,30231.58203125,30462.48046875,29725.57421875,30139.052734375,18651929926,-0.0031803678161343,0.2929434404853048,0.024450212702256696,-0.003175315803583212,0.019695371204262166,15920833674.0,,1.1715422890486005,0.2322163904660806,,1.2615106104153078,2,4,0,0.015359292752656462,0.10847826638454605,0.0152537289948308,0.2322163904660806,-0.5425649507175127,-0.51566839695678,-0.20023899542682852,-0.24534883867331528,0.480386813267638,1.0364500491527346,1.253653044772735,0.8966784028953274,1.2541300762849992,-0.8957932823485993
